Epoch,Baseline,B=.67,B=.67x4,B=.4,B=.4x10,B=.2,B=.2x4
1,36.31,34.84,37.12,35.94,35,35.66,36.1
2,34.16,30.4,32.12,30.98,33.32,30.24,31.1
3,30.58,27.92,30.18,28.24,28.98,29.88,29.42
4,29.5,27.9,28.14,27.02,28.34,27.98,28.48
5,29.38,26.66,27.68,26.16,27.82,25.96,26.92
6,28.69,25.38,27.18,25.42,27.48,26.06,26.04
7,27.5,24.48,27.12,23.82,26.86,25.18,26.2
8,27.85,24.34,27.96,23.16,25.24,25.54,25.18
9,27.95,25.84,26.3,23.72,25.24,25.06,24.5
10,27.28,23.86,25.84,22.78,26.28,24.98,24.94
11,26.37,24.12,25.76,22.56,25.28,25.12,25.46
12,26.35,24.84,26.06,22.54,24.42,24.7,24.9
13,26.16,24.66,26.22,22.64,25.32,24.24,24.16
14,26.13,24.1,27.8,22.38,24.62,24.9,24.52
15,26.1,24.46,25.14,21.76,25.24,24.3,24.4
16,26.03,24.54,25.8,22.48,25.1,24.24,24.66
17,26.25,24.48,25.34,22.58,24.68,24.44,23.72
18,26.15,24,24.36,21.76,25.06,23.8,24.7
19,25.98,23.14,24.28,21.94,24.8,23.1,24.2
20,25.74,24.02,25.54,22.56,24.28,22.96,24.08
21,25.73,22.44,25.9,21.9,23.82,23.54,23.86
22,25.14,22.78,24.88,21.6,26.24,23.36,23.12
23,25.66,23.04,24.18,22.1,24.3,23.88,23.66
24,25.45,23.8,24.96,22.6,24.86,23.72,23.52
25,26.47,22.84,24.64,21.82,24.16,23.08,24.54
26,25.16,22.86,24.44,22.86,24.08,22.74,23.94
27,25.77,23.08,24.86,22,24.2,23.64,23.58
28,25.5,22.44,24.26,21.42,24.22,22.76,23.92
29,25.59,23.1,24.56,21.16,23.94,23.58,23.16
30,25.3,24.16,25.42,20.98,23.26,23.18,24.22
31,25.24,23.72,24.04,21.88,24.06,22.72,23.72
32,25.09,22.9,24.9,21.16,24.02,23.06,23.72
33,24.95,23.5,24.04,22.62,23.9,22.76,23.24
34,25.46,23.32,24.74,21.06,23.16,23.1,23.04
35,25.01,23.06,23.68,21.28,24.48,22.8,23.16
36,25.23,22.3,24.4,21.84,23.24,22.36,23.12
37,24.76,23.2,25.02,21.98,23.88,22.92,23.04
38,24.84,21.76,24.68,21.72,23.9,22.42,22.9
39,24.71,21.48,24.3,21.62,23.72,22.32,23.32
40,24.5,22.72,23.04,21.34,23.96,22.94,22.7
41,24.41,22.32,23.98,20.52,23.8,23.02,23.54
42,25.23,22.98,23.34,20.6,23.68,22.6,22.92
43,24.69,22.06,23.82,21.22,23.12,22.2,22.78
44,24.21,23.08,23.32,21.66,23.28,22.32,22.28
45,24.1,23.62,24.06,20.7,23.58,21.72,22.6
46,24.34,22.72,24.28,20.78,24.66,22.72,21.82
47,23.72,22.22,23.7,20.36,24.52,22.36,22.18
48,24.28,21.98,23.68,20.02,23.44,21.84,22
49,24.84,22.26,23.8,20.38,23.62,21.76,22.24
50,24.63,21.7,24.3,21.1,23.36,22.5,22.34
51,23.46,20.76,22.62,20.56,22.7,21.04,22.26
52,23.97,20.84,22.98,19.74,22.08,21.26,21.32
53,23.72,21.46,22.56,20.16,22.86,21.04,21.68
54,23.46,20.98,22.76,19.92,22.3,20.54,22
55,23.29,20.72,23.12,19.82,22.44,20.96,21.76
56,23.38,20.9,23,19.38,22.6,21.14,21.52
57,23.22,21.22,22.4,20.16,22.46,21.46,21.66
58,23.43,21.9,22.88,20.2,22.14,20.58,21.62
59,23.76,21,22.58,20.02,22.36,21.08,20.88
60,23.02,21.4,22.46,19.82,22.88,20.94,21.02
61,23.29,21.46,22.16,19.78,22.4,21.64,21.54
62,22.9,20.94,21.44,19.82,22.62,21,21.56
63,23.28,20.88,22.12,19.76,21.8,20.84,21.16
64,23.74,21.38,22.2,19.72,21.74,20.94,22.28
65,23.65,21.72,21.78,20.14,22.14,20.56,21.68
66,23.2,20.9,22.54,19.86,22.28,20.88,21.74
67,23.38,21.8,22.8,19.48,22.3,21.34,21.86
68,23.63,21.36,22.72,19.82,22.18,21.72,21.34
69,23.32,21.06,22.08,19.14,22.72,21.1,21.22
70,23.28,20.98,22.38,20.46,22.6,22.46,20.6
71,24.1,21.04,22.54,19.52,23.14,20.68,21.42
72,23.3,21.14,23.02,19.82,22.48,21.02,21.44
73,23.55,21.56,21.7,19.62,22.2,20.8,21.06
74,23.25,21.7,22.96,19.4,22.58,20.52,22.68
75,23.6,21.16,23.28,19.92,22.72,21.18,21.58
76,22.72,20.12,22.02,19.34,21.6,20,20.74
77,22.7,19.84,21.7,18.76,21.58,19.94,20.5
78,22.45,19.54,21.54,18.64,21.5,19.58,20.46
79,22.52,19.56,21.36,18.8,21.24,19.48,20.14
80,22.42,19.44,20.96,18.96,21.12,19.46,20.32
81,22.55,19.68,21.52,18.44,21.18,19.7,20.32
82,22.48,19.74,21.26,18.58,20.98,19.74,20.34
83,22.37,19.64,20.92,18.62,20.98,19.3,20.26
84,22.41,19.74,21.14,18.58,20.86,19.52,20.26
85,22.36,19.68,21.12,18.56,20.76,19.62,20.16
86,22.13,19.7,20.78,18.4,21.02,19.42,20.12
87,22.26,19.84,20.62,18.32,21.08,19.32,19.64
88,22.38,19.62,20.82,18.6,20.92,19.26,20.32
89,22.21,19.84,21.1,18.44,20.7,19.46,20
90,22.29,19.86,21.14,18.38,20.9,19.4,20.1
91,22.3,19.6,21,18.3,21.1,19.26,20.08
92,22.4,19.72,20.92,18.22,20.76,19.18,19.96
93,22.38,19.48,20.94,18.54,20.64,19.28,20.22
94,22.34,19.46,20.94,18.5,20.84,19.38,20.1
95,22.45,19.58,21.08,18.36,20.56,19.4,20.02
96,22.27,19.48,20.9,18.32,20.62,19.32,19.96
97,22.17,19.62,21.04,18.24,20.6,19.44,19.98
98,22.23,19.24,20.78,18.42,20.62,19.34,20
99,22.35,19.42,20.66,18.14,20.46,19.38,20.36
100,22.18,19.52,20.64,18.4,20.34,19.34,19.82
